row,product_name,brand,category
1,Nike short sleeve t-shirt,NIKE,미분류
2,Adidas jogger pants,ADIDAS,미분류
3,Pleated skirt mini,ZARA,미분류
4,Wool cardigan cream,COS,미분류
5,Denim jeans regular,LEVIS,미분류
6,Mini shoulder bag,GUCCI,미분류
7,Logo cap,MLB,미분류
8,Running sneakers,ASICS,미분류
9,Puffer down jacket,MONCLER,미분류
10,Cotton shirt stripe,UNIQLO,미분류
11,Long coat navy,SYSTEM,미분류
12,Black belt leather,HERMES,미분류
13,Sunglasses classic,RAYBAN,미분류
14,Sports socks 3pack,NIKE,미분류
15,Cargo pants wide,CARHARTT,미분류
16,Dress floral,SANDRO,미분류
17,Knit sweater round,AMI,미분류
18,Blouse ivory,MANGO,미분류
19,Crossbody bag black,COACH,미분류
20,Beanie wool,STUSSY,미분류
21,Unknown item abc,BRANDX,기타
22,Unknown item def,BRANDY,미분류
23,Jacket varsity,SUPREME,미분류
24,Hoodie oversized,FEAROFGOD,미분류
25,Tank top ribbed,H&M,미분류
26,Slacks formal,MASSIMODUTTI,미분류
27,Loafer shoes,TODS,미분류
28,Sandal slide,BIRKENSTOCK,미분류
29,Backpack travel,SAMSONITE,미분류
30,Skirt pleated midi,A.P.C,미분류
